event_date,region,tower_id,total_calls,dropped_calls,avg_latency_ms,avg_signal_strength_dbm,poor_quality_calls,drop_rate_pct
2026-07-15,Southeast,SE-TWR-002,1,0,276.85,-101.18,1,0.0
2026-07-15,Southeast,SE-TWR-003,1,0,95.89,-104.86,0,0.0
2026-07-15,Southwest,SW-TWR-001,1,0,81.68,-74.56,0,0.0
2026-07-16,Midwest,MW-TWR-001,1,0,184.51,-72.67,1,0.0
2026-07-16,Midwest,MW-TWR-002,1,0,45.95,-101.29,0,0.0
2026-07-16,Northwest,NW-TWR-001,3,0,134.36666666666667,-92.06,1,0.0
2026-07-16,Northwest,NW-TWR-003,1,1,89.24,-105.57,1,100.0
2026-07-16,Southeast,SE-TWR-001,1,0,226.42,-107.56,1,0.0
2026-07-16,Southwest,SW-TWR-001,2,0,78.22500000000001,-91.84,0,0.0
2026-07-16,Southwest,SW-TWR-002,2,0,76.74,-87.955,0,0.0
2026-07-17,Midwest,MW-TWR-001,1,0,57.27,-85.91,0,0.0
2026-07-17,Midwest,MW-TWR-003,2,0,180.53,-97.285,2,0.0
2026-07-17,Northwest,NW-TWR-001,1,0,52.67,-99.78,0,0.0
2026-07-17,Northwest,NW-TWR-002,1,0,215.87,-101.03,1,0.0
2026-07-17,Northwest,NW-TWR-003,2,0,108.35,-91.72999999999999,0,0.0
2026-07-17,Southeast,SE-TWR-002,1,0,228.18,-101.73,1,0.0
2026-07-17,Southwest,SW-TWR-003,4,0,192.3825,-82.1875,3,0.0
2026-07-18,Midwest,MW-TWR-002,1,0,49.34,-103.48,0,0.0
2026-07-18,Southeast,SE-TWR-001,3,0,231.15333333333334,-87.21666666666665,3,0.0
2026-07-18,Southeast,SE-TWR-002,1,0,257.41,-121.25,1,0.0
2026-07-18,Southeast,SE-TWR-003,2,0,82.82,-96.58500000000001,1,0.0
2026-07-18,Southwest,SW-TWR-001,1,0,94.92,-108.76,1,0.0
2026-07-18,Southwest,SW-TWR-002,1,0,88.4,-67.14,0,0.0
2026-07-19,Midwest,MW-TWR-001,1,0,261.94,-65.39,1,0.0
2026-07-19,Midwest,MW-TWR-002,3,0,183.17,-104.16000000000001,3,0.0
2026-07-19,Midwest,MW-TWR-003,1,1,108.77,-123.46,1,100.0
2026-07-19,Northwest,NW-TWR-001,1,0,141.07,-75.95,0,0.0
2026-07-19,Northwest,NW-TWR-002,3,0,127.85333333333334,-112.10333333333334,2,0.0
2026-07-19,Northwest,NW-TWR-003,2,0,206.39,-107.09,2,0.0
2026-07-19,Southeast,SE-TWR-002,1,0,15.75,-85.28,0,0.0
2026-07-19,Southwest,SW-TWR-002,2,1,168.115,-105.285,2,50.0
2026-07-19,Southwest,SW-TWR-003,1,1,183.49,-117.51,1,100.0
2026-07-20,Midwest,MW-TWR-001,1,0,245.86,-99.38,1,0.0
2026-07-20,Midwest,MW-TWR-002,1,1,216.28,-92.09,1,100.0
2026-07-20,Northwest,NW-TWR-001,2,0,60.75,-73.875,0,0.0
2026-07-20,Northwest,NW-TWR-003,1,0,224.88,-95.87,1,0.0
2026-07-20,Southeast,SE-TWR-002,2,2,170.24,-105.765,2,100.0
2026-07-20,Southeast,SE-TWR-003,1,0,154.56,-82.37,1,0.0
2026-07-20,Southwest,SW-TWR-001,1,0,167.59,-118.0,1,0.0
2026-07-20,Southwest,SW-TWR-003,1,0,32.56,-118.42,1,0.0
2026-07-21,Midwest,MW-TWR-001,1,0,247.55,-97.48,1,0.0
2026-07-21,Midwest,MW-TWR-002,1,0,34.16,-74.32,0,0.0
2026-07-21,Northwest,NW-TWR-001,1,0,113.89,-109.97,1,0.0
2026-07-21,Northwest,NW-TWR-003,2,0,147.135,-94.80000000000001,1,0.0
2026-07-21,Southeast,SE-TWR-001,1,0,269.39,-119.96,1,0.0
2026-07-21,Southeast,SE-TWR-002,2,0,161.70499999999998,-107.63,2,0.0
2026-07-21,Southeast,SE-TWR-003,1,0,235.41,-82.05,1,0.0
2026-07-21,Southwest,SW-TWR-001,1,0,75.76,-122.06,1,0.0
2026-07-21,Southwest,SW-TWR-002,2,0,69.11,-94.245,1,0.0
2026-07-21,Southwest,SW-TWR-003,1,0,176.81,-67.71,1,0.0
2026-07-22,Midwest,MW-TWR-001,1,0,164.22,-85.49,1,0.0
2026-07-22,Midwest,MW-TWR-002,2,0,139.3,-87.225,1,0.0
2026-07-22,Midwest,MW-TWR-003,4,0,167.09,-107.405,4,0.0
2026-07-22,Northwest,NW-TWR-001,1,0,189.73,-117.92,1,0.0
2026-07-22,Southwest,SW-TWR-002,2,0,244.81,-94.87,2,0.0
2026-07-22,Southwest,SW-TWR-003,2,0,112.305,-95.92500000000001,1,0.0
2026-07-23,Midwest,MW-TWR-001,2,1,108.05,-105.89,1,50.0
2026-07-23,Midwest,MW-TWR-002,1,0,96.0,-93.35,0,0.0
2026-07-23,Northwest,NW-TWR-002,1,0,108.81,-91.79,0,0.0
2026-07-23,Northwest,NW-TWR-003,2,0,103.405,-75.04499999999999,0,0.0
2026-07-23,Southeast,SE-TWR-001,4,0,167.49,-84.2375,3,0.0
2026-07-23,Southeast,SE-TWR-002,2,0,161.43,-103.9,1,0.0
2026-07-23,Southeast,SE-TWR-003,2,0,159.645,-90.035,1,0.0
2026-07-23,Southwest,SW-TWR-001,1,0,24.9,-104.88,0,0.0
2026-07-23,Southwest,SW-TWR-003,1,0,236.41,-100.0,1,0.0
2026-07-24,Midwest,MW-TWR-002,1,0,229.14,-70.37,1,0.0
2026-07-24,Midwest,MW-TWR-003,1,0,194.07,-81.59,1,0.0
2026-07-24,Northwest,NW-TWR-003,2,1,253.59999999999997,-82.87,2,50.0
2026-07-24,Southeast,SE-TWR-003,1,0,210.63,-89.02,1,0.0
2026-07-24,Southwest,SW-TWR-001,1,1,227.67,-115.61,1,100.0
2026-07-25,Midwest,MW-TWR-002,1,0,98.8,-88.79,0,0.0
2026-07-25,Northwest,NW-TWR-003,1,0,149.55,-113.35,1,0.0
2026-07-25,Southeast,SE-TWR-001,1,0,103.51,-119.1,1,0.0
2026-07-25,Southeast,SE-TWR-003,1,0,125.88,-100.12,0,0.0
2026-07-25,Southwest,SW-TWR-003,1,0,232.03,-79.35,1,0.0
2026-07-26,Midwest,MW-TWR-001,1,0,259.62,-69.25,1,0.0
2026-07-26,Midwest,MW-TWR-002,1,1,220.54,-76.99,1,100.0
2026-07-26,Northwest,NW-TWR-002,1,0,149.06,-118.86,1,0.0
2026-07-26,Northwest,NW-TWR-003,1,0,219.07,-98.1,1,0.0
2026-07-26,Southeast,SE-TWR-002,2,0,82.72,-85.515,0,0.0
2026-07-26,Southeast,SE-TWR-003,2,0,146.065,-97.32,2,0.0
2026-07-26,Southwest,SW-TWR-001,2,0,154.83999999999997,-96.495,1,0.0
2026-07-26,Southwest,SW-TWR-002,1,0,72.58,-87.83,0,0.0
2026-07-26,Southwest,SW-TWR-003,1,0,81.23,-76.55,0,0.0
2026-07-27,Midwest,MW-TWR-001,2,0,179.35,-100.57,2,0.0
2026-07-27,Midwest,MW-TWR-002,1,0,259.41,-77.29,1,0.0
2026-07-27,Northwest,NW-TWR-002,1,0,197.45,-115.96,1,0.0
2026-07-27,Southeast,SE-TWR-001,1,0,187.99,-108.24,1,0.0
2026-07-27,Southeast,SE-TWR-002,1,0,16.47,-92.77,0,0.0
2026-07-27,Southwest,SW-TWR-002,3,1,122.38666666666667,-98.94333333333333,2,33.33
2026-07-28,Midwest,MW-TWR-001,1,0,34.73,-98.29,0,0.0
2026-07-28,Midwest,MW-TWR-002,2,0,239.35000000000002,-116.72,2,0.0
2026-07-28,Midwest,MW-TWR-003,1,0,213.46,-103.78,1,0.0
2026-07-28,Northwest,NW-TWR-001,2,0,88.78,-118.06,2,0.0
2026-07-28,Northwest,NW-TWR-002,1,1,96.05,-97.17,0,100.0
2026-07-28,Southwest,SW-TWR-001,1,0,277.13,-106.02,1,0.0
2026-07-28,Southwest,SW-TWR-002,2,0,175.075,-86.96,1,0.0
2026-07-28,Southwest,SW-TWR-003,2,0,103.17999999999999,-73.145,1,0.0
