activity_id,subscriber_id,activity_time,activity_type,data_usage_mb,device_type,network_type,roaming_flag,tower_id,region
ACT-0000132,SUB-00068,2026-07-06T04:36:00,DEVICE_ATTACH,2939.67,IOS,5G,N,MW-TWR-003,Midwest
ACT-0000133,SUB-00008,2026-07-03T22:40:00,DATA_SESSION,282.43,ANDROID,5G,N,SE-TWR-001,Southeast
ACT-0000134,SUB-00026,2026-07-09T11:56:00,APP_USAGE,3908.26,IOS,5G,Y,MW-TWR-003,Midwest
ACT-0000135,SUB-00013,2026-07-27T13:50:00,DATA_SESSION,2198.88,IOT,5G,N,MW-TWR-003,Midwest
ACT-0000136,SUB-00079,2026-07-20T08:00:00,ROAMING_EVENT,291.84,IOT,5G,Y,NW-TWR-002,Northwest
ACT-0000137,SUB-00083,2026-07-04T07:34:00,DEVICE_ATTACH,2842.79,IOT,5G,Y,MW-TWR-003,Midwest
ACT-0000138,SUB-00026,2026-07-08T23:28:00,DATA_SESSION,357.19,IOT,5G,N,SE-TWR-003,Southeast
ACT-0000139,SUB-00063,2026-07-09T23:35:00,ROAMING_EVENT,228.7,IOS,5G,Y,MW-TWR-001,Midwest
ACT-0000140,SUB-00016,2026-07-22T06:43:00,SMS,2029.46,IOT,5G,N,MW-TWR-003,Midwest
ACT-0000141,SUB-00064,2026-07-05T04:09:00,ROAMING_EVENT,352.35,IOS,5G,Y,NW-TWR-002,Northwest
ACT-0000142,SUB-00067,2026-07-04T13:56:00,ROAMING_EVENT,4485.52,IOS,5G,Y,SW-TWR-003,Southwest
ACT-0000143,SUB-00061,2026-07-10T03:00:00,SMS,2901.48,ANDROID,5G,N,MW-TWR-001,Midwest
ACT-0000144,SUB-00005,2026-07-15T19:48:00,SMS,3625.15,HOTSPOT,5G,N,SE-TWR-003,Southeast
ACT-0000145,SUB-00012,2026-07-09T19:08:00,APP_USAGE,3503.86,ANDROID,5G,N,SW-TWR-001,Southwest
ACT-0000146,SUB-00038,2026-07-12T18:40:00,APP_USAGE,2354.68,IOS,5G,N,SW-TWR-001,Southwest
ACT-0000147,SUB-00022,2026-07-28T06:05:00,ROAMING_EVENT,1123.6,IOT,5G,Y,SE-TWR-003,Southeast
ACT-0000148,SUB-00043,2026-07-14T08:59:00,DATA_SESSION,714.73,ANDROID,5G,N,MW-TWR-003,Midwest
ACT-0000149,SUB-00061,2026-07-02T15:17:00,ROAMING_EVENT,1706.52,IOS,5G,Y,MW-TWR-002,Midwest
ACT-0000150,SUB-00084,2026-07-11T09:42:00,DEVICE_ATTACH,4650.12,IOT,5G,N,MW-TWR-002,Midwest
ACT-0000151,SUB-00061,2026-07-23T21:25:00,DATA_SESSION,3686.37,IOS,5G,Y,NW-TWR-002,Northwest
ACT-0000152,SUB-00024,2026-07-18T04:36:00,APP_USAGE,4833.17,ANDROID,5G,Y,SE-TWR-002,Southeast
ACT-0000153,SUB-00022,2026-07-16T11:26:00,ROAMING_EVENT,448.26,IOT,5G,Y,MW-TWR-003,Midwest
ACT-0000154,SUB-00002,2026-07-28T21:27:00,DATA_SESSION,1201.69,HOTSPOT,5G,N,SE-TWR-001,Southeast
ACT-0000155,SUB-00068,2026-07-09T13:02:00,DEVICE_ATTACH,3673.5,IOT,4G,N,NW-TWR-003,Northwest
ACT-0000156,SUB-00022,2026-07-03T08:41:00,ROAMING_EVENT,1857.75,ANDROID,5G,Y,MW-TWR-002,Midwest
ACT-0000157,SUB-00029,2026-07-03T00:44:00,DATA_SESSION,2932.0,IOT,5G,N,MW-TWR-001,Midwest
ACT-0000158,SUB-00073,2026-07-22T04:27:00,ROAMING_EVENT,2428.34,HOTSPOT,5G,Y,SE-TWR-003,Southeast
ACT-0000159,SUB-00049,2026-07-27T07:15:00,ROAMING_EVENT,3685.39,ANDROID,4G,Y,NW-TWR-003,Northwest
ACT-0000160,SUB-00049,2026-07-03T22:25:00,DEVICE_ATTACH,92.9,IOS,4G,N,NW-TWR-003,Northwest
ACT-0000161,SUB-00008,2026-07-11T23:25:00,SMS,961.0,ANDROID,5G,N,SW-TWR-002,Southwest
ACT-0000162,SUB-00048,2026-07-16T02:36:00,ROAMING_EVENT,654.79,IOS,4G,Y,NW-TWR-003,Northwest
ACT-0000163,SUB-00053,2026-07-28T17:51:00,APP_USAGE,1004.07,IOT,5G,N,MW-TWR-001,Midwest
ACT-0000164,SUB-00075,2026-07-25T19:10:00,DATA_SESSION,2352.51,HOTSPOT,5G,N,MW-TWR-002,Midwest
ACT-0000165,SUB-00090,2026-07-15T21:11:00,SMS,313.99,IOS,5G,N,SW-TWR-002,Southwest
ACT-0000166,SUB-00014,2026-07-23T21:21:00,DEVICE_ATTACH,807.05,IOS,5G,N,MW-TWR-001,Midwest
ACT-0000167,SUB-00083,2026-07-22T10:02:00,DEVICE_ATTACH,4822.17,IOS,5G,N,MW-TWR-001,Midwest
ACT-0000168,SUB-00056,2026-07-22T06:34:00,APP_USAGE,2097.5,IOT,5G,N,NW-TWR-001,Northwest
ACT-0000169,SUB-00049,2026-07-25T08:53:00,SMS,911.92,IOS,5G,N,NW-TWR-001,Northwest
ACT-0000170,SUB-00021,2026-07-27T20:23:00,ROAMING_EVENT,3587.86,HOTSPOT,5G,Y,SW-TWR-002,Southwest
ACT-0000171,SUB-00014,2026-07-07T13:56:00,ROAMING_EVENT,63.56,IOT,5G,Y,NW-TWR-002,Northwest
ACT-0000172,SUB-00023,2026-07-22T15:33:00,DEVICE_ATTACH,1752.94,HOTSPOT,5G,N,MW-TWR-002,Midwest
ACT-0000173,SUB-00060,2026-07-10T03:51:00,DEVICE_ATTACH,1903.29,HOTSPOT,5G,Y,NW-TWR-002,Northwest
ACT-0000174,SUB-00038,2026-07-14T20:06:00,SMS,1467.6,IOS,5G,Y,MW-TWR-003,Midwest
ACT-0000175,SUB-00063,2026-07-27T23:00:00,DATA_SESSION,3650.27,IOT,5G,Y,SE-TWR-001,Southeast
ACT-0000176,SUB-00042,2026-07-07T21:08:00,ROAMING_EVENT,3080.86,IOT,5G,Y,SE-TWR-002,Southeast
ACT-0000177,SUB-00017,2026-07-12T12:30:00,DATA_SESSION,1598.77,IOT,5G,N,NW-TWR-001,Northwest
ACT-0000178,SUB-00079,2026-07-07T02:26:00,APP_USAGE,1318.03,IOS,5G,N,SW-TWR-003,Southwest
ACT-0000179,SUB-00022,2026-07-06T19:49:00,SMS,3141.84,ANDROID,4G,N,NW-TWR-003,Northwest
ACT-0000180,SUB-00056,2026-07-07T23:56:00,DEVICE_ATTACH,3493.8,IOT,4G,N,NW-TWR-003,Northwest
ACT-0000181,SUB-00009,2026-07-19T14:46:00,DATA_SESSION,2074.14,IOS,5G,N,SW-TWR-002,Southwest
ACT-0000182,SUB-00072,2026-07-03T04:32:00,APP_USAGE,657.59,IOS,5G,Y,SW-TWR-001,Southwest
ACT-0000183,SUB-00046,2026-07-23T04:46:00,APP_USAGE,2396.94,IOS,5G,N,MW-TWR-002,Midwest
ACT-0000184,SUB-00092,2026-07-17T21:00:00,ROAMING_EVENT,2945.56,ANDROID,5G,Y,MW-TWR-002,Midwest
ACT-0000185,SUB-00029,2026-07-18T04:22:00,APP_USAGE,4590.45,IOS,5G,N,SE-TWR-002,Southeast
ACT-0000186,SUB-00085,2026-07-16T09:12:00,DATA_SESSION,2033.15,IOT,5G,N,SE-TWR-002,Southeast
ACT-0000187,SUB-00059,2026-07-26T02:54:00,DATA_SESSION,1142.2,IOT,5G,N,MW-TWR-002,Midwest
ACT-0000188,SUB-00073,2026-07-03T19:00:00,DEVICE_ATTACH,3473.05,ANDROID,5G,N,SW-TWR-001,Southwest
ACT-0000189,SUB-00073,2026-07-19T15:47:00,DATA_SESSION,3130.8,IOT,5G,N,SW-TWR-003,Southwest
ACT-0000190,SUB-00096,2026-07-07T23:15:00,APP_USAGE,1926.13,IOT,5G,Y,SE-TWR-001,Southeast
ACT-0000191,SUB-00035,2026-07-13T11:02:00,DEVICE_ATTACH,4535.43,IOS,5G,N,NW-TWR-002,Northwest
ACT-0000192,SUB-00007,2026-07-04T16:39:00,APP_USAGE,2402.27,HOTSPOT,4G,N,NW-TWR-003,Northwest
ACT-0000193,SUB-00013,2026-07-24T08:58:00,ROAMING_EVENT,2769.08,IOT,5G,Y,MW-TWR-003,Midwest
ACT-0000194,SUB-00085,2026-07-27T12:48:00,APP_USAGE,4114.96,IOS,5G,Y,SW-TWR-001,Southwest
ACT-0000195,SUB-00053,2026-07-25T13:34:00,ROAMING_EVENT,876.78,ANDROID,5G,Y,SE-TWR-001,Southeast
ACT-0000196,SUB-00067,2026-07-23T17:49:00,ROAMING_EVENT,2234.43,IOT,5G,Y,SW-TWR-003,Southwest
ACT-0000197,SUB-00048,2026-07-23T07:40:00,ROAMING_EVENT,2083.05,IOT,5G,Y,MW-TWR-002,Midwest
ACT-0000198,SUB-00053,2026-07-20T07:57:00,APP_USAGE,2092.11,IOS,5G,Y,SE-TWR-003,Southeast
ACT-0000199,SUB-00044,2026-07-04T11:13:00,APP_USAGE,1122.75,IOS,4G,N,NW-TWR-003,Northwest
ACT-0000200,SUB-00062,2026-07-09T06:18:00,SMS,4179.2,HOTSPOT,5G,N,MW-TWR-001,Midwest
ACT-0000201,SUB-00054,2026-07-23T04:56:00,DEVICE_ATTACH,861.85,IOS,5G,N,SW-TWR-001,Southwest
ACT-0000202,SUB-00024,2026-07-13T10:49:00,DATA_SESSION,3156.76,HOTSPOT,5G,N,MW-TWR-001,Midwest
ACT-0000203,SUB-00052,2026-07-11T03:39:00,ROAMING_EVENT,4588.59,IOS,5G,Y,MW-TWR-002,Midwest
ACT-0000204,SUB-00018,2026-07-19T22:11:00,ROAMING_EVENT,4310.36,IOS,5G,Y,MW-TWR-002,Midwest
ACT-0000205,SUB-00050,2026-07-12T06:29:00,DATA_SESSION,1340.53,HOTSPOT,5G,N,MW-TWR-002,Midwest
ACT-0000206,SUB-00077,2026-07-10T19:32:00,DEVICE_ATTACH,868.69,ANDROID,4G,N,NW-TWR-003,Northwest
ACT-0000207,SUB-00051,2026-07-22T02:29:00,DATA_SESSION,2826.62,HOTSPOT,5G,N,SW-TWR-003,Southwest
ACT-0000208,SUB-00056,2026-07-18T20:30:00,DATA_SESSION,1915.19,ANDROID,4G,N,NW-TWR-003,Northwest
ACT-0000209,SUB-00007,2026-07-16T03:51:00,APP_USAGE,3958.99,ANDROID,5G,N,SW-TWR-001,Southwest
