cdr_id,subscriber_id,call_start_time,call_end_time,duration_seconds,source_tower_id,destination_tower_id,call_type,call_status,roaming_flag,network_type,signal_strength_dbm,latency_ms,region
CDR-0000033,SUB-00097,2026-07-08T11:19:00,2026-07-08T11:30:57,717,NW-TWR-003,NW-TWR-002,VOLTE,COMPLETED,N,4G,-97.12,128.1,Northwest
CDR-0000034,SUB-00060,2026-07-13T20:05:00,2026-07-13T20:08:24,204,SE-TWR-002,SE-TWR-002,VIDEO,FAILED,N,5G,-103.35,19.5,Southeast
CDR-0000035,SUB-00074,2026-07-14T12:51:00,2026-07-14T12:52:36,96,SE-TWR-003,NW-TWR-001,VOLTE,COMPLETED,N,5G,-115.4,152.93,Southeast
CDR-0000036,SUB-00034,2026-07-20T09:24:00,2026-07-20T09:27:35,215,SW-TWR-003,MW-TWR-002,VIDEO,COMPLETED,N,5G,-118.42,32.56,Southwest
CDR-0000037,SUB-00061,2026-07-07T08:24:00,2026-07-07T08:51:52,1672,SW-TWR-001,SE-TWR-003,VOICE,COMPLETED,N,5G,-72.46,157.97,Southwest
CDR-0000038,SUB-00070,2026-07-21T04:02:00,2026-07-21T04:19:52,1072,SE-TWR-001,SE-TWR-003,VOICE,COMPLETED,N,5G,-119.96,269.39,Southeast
CDR-0000039,SUB-00059,2026-07-12T16:00:00,2026-07-12T16:19:25,1165,SW-TWR-001,NW-TWR-002,VOICE,COMPLETED,N,5G,-111.92,196.41,Southwest
CDR-0000040,SUB-00048,2026-07-03T03:48:00,2026-07-03T04:00:48,768,MW-TWR-003,MW-TWR-003,VOLTE,COMPLETED,N,5G,-113.12,129.87,Midwest
CDR-0000041,SUB-00079,2026-07-04T13:15:00,2026-07-04T13:40:39,1539,SE-TWR-002,NW-TWR-001,VOICE,COMPLETED,Y,5G,-94.34,133.57,Southeast
CDR-0000042,SUB-00013,2026-07-23T01:34:00,2026-07-23T01:50:35,995,SE-TWR-003,SW-TWR-001,VOICE,COMPLETED,N,5G,-65.7,94.77,Southeast
CDR-0000043,SUB-00052,2026-07-26T23:51:00,2026-07-27T00:19:35,1715,SW-TWR-003,SW-TWR-001,VIDEO,COMPLETED,N,5G,-76.55,81.23,Southwest
CDR-0000044,SUB-00010,2026-07-10T21:30:00,2026-07-10T21:57:20,1640,SE-TWR-003,NW-TWR-001,VOLTE,COMPLETED,N,5G,-71.11,24.49,Southeast
CDR-0000045,SUB-00054,2026-07-16T02:59:00,2026-07-16T03:05:55,415,SE-TWR-001,NW-TWR-002,VOLTE,COMPLETED,N,5G,-107.56,226.42,Southeast
CDR-0000046,SUB-00028,2026-07-12T22:19:00,2026-07-12T22:19:55,55,MW-TWR-002,SW-TWR-002,VIDEO,COMPLETED,N,5G,-101.85,165.74,Midwest
CDR-0000047,SUB-00016,2026-07-22T20:19:00,2026-07-22T20:28:59,599,MW-TWR-001,NW-TWR-003,VIDEO,COMPLETED,N,5G,-85.49,164.22,Midwest
CDR-0000048,SUB-00064,2026-07-21T18:33:00,2026-07-21T18:42:15,555,SW-TWR-002,SE-TWR-001,VOLTE,COMPLETED,Y,5G,-75.41,98.73,Southwest
CDR-0000049,SUB-00047,2026-07-07T06:51:00,2026-07-07T07:06:30,930,SW-TWR-001,SW-TWR-001,VIDEO,COMPLETED,N,5G,-66.39,15.19,Southwest
CDR-0000050,SUB-00083,2026-07-10T00:56:00,2026-07-10T00:57:25,85,NW-TWR-002,SE-TWR-002,VOICE,COMPLETED,Y,5G,-123.3,212.96,Northwest
CDR-0000051,SUB-00062,2026-07-08T06:18:00,2026-07-08T06:20:31,151,NW-TWR-001,SW-TWR-003,VOICE,COMPLETED,N,5G,-103.47,219.11,Northwest
CDR-0000052,SUB-00098,2026-07-14T16:17:00,2026-07-14T16:37:16,1216,MW-TWR-002,MW-TWR-001,VOICE,COMPLETED,N,5G,-68.09,127.45,Midwest
CDR-0000053,SUB-00100,2026-07-23T20:08:00,2026-07-23T20:20:45,765,SE-TWR-003,NW-TWR-001,VIDEO,COMPLETED,N,5G,-114.37,224.52,Southeast
CDR-0000054,SUB-00035,2026-07-22T01:16:00,2026-07-22T01:33:48,1068,MW-TWR-003,SE-TWR-002,VOLTE,COMPLETED,N,5G,-89.48,151.22,Midwest
CDR-0000055,SUB-00013,2026-07-20T04:03:00,2026-07-20T04:04:01,61,NW-TWR-001,MW-TWR-002,VIDEO,COMPLETED,N,5G,-78.68,57.01,Northwest
CDR-0000056,SUB-00012,2026-07-13T06:52:00,2026-07-13T07:10:55,1135,NW-TWR-001,SW-TWR-003,VOICE,COMPLETED,N,5G,-105.82,140.0,Northwest
CDR-0000057,SUB-00035,2026-07-27T12:21:00,2026-07-27T12:47:33,1593,SE-TWR-001,SW-TWR-003,VOLTE,COMPLETED,N,5G,-108.24,187.99,Southeast
CDR-0000058,SUB-00089,2026-07-07T18:22:00,2026-07-07T18:41:46,1186,SW-TWR-001,SE-TWR-001,VIDEO,DROPPED,N,5G,-110.29,166.1,Southwest
CDR-0000059,SUB-00026,2026-07-03T00:26:00,2026-07-03T00:42:07,967,SE-TWR-002,NW-TWR-002,VIDEO,FAILED,N,5G,-86.94,203.01,Southeast
CDR-0000060,SUB-00003,2026-07-21T07:45:00,2026-07-21T08:10:16,1516,SE-TWR-002,SE-TWR-003,VOICE,COMPLETED,Y,5G,-100.04,176.66,Southeast
CDR-0000061,SUB-00040,2026-07-03T11:13:00,2026-07-03T11:22:12,552,NW-TWR-002,MW-TWR-003,VOICE,COMPLETED,N,5G,-91.62,239.38,Northwest
CDR-0000062,SUB-00065,2026-07-01T02:15:00,2026-07-01T02:15:32,32,MW-TWR-001,SW-TWR-001,VOICE,COMPLETED,N,5G,-99.37,240.04,Midwest
CDR-0000063,SUB-00078,2026-07-20T13:16:00,2026-07-20T13:37:17,1277,SE-TWR-003,NW-TWR-001,VOLTE,COMPLETED,Y,5G,-82.37,154.56,Southeast
CDR-0000064,SUB-00090,2026-07-01T17:21:00,2026-07-01T17:32:46,706,NW-TWR-002,SE-TWR-003,VIDEO,COMPLETED,N,5G,-102.09,245.29,Northwest
CDR-0000065,SUB-00053,2026-07-17T03:34:00,2026-07-17T03:35:56,116,NW-TWR-003,SE-TWR-003,VOLTE,COMPLETED,N,4G,-94.02,145.71,Northwest
CDR-0000066,SUB-00094,2026-07-27T10:52:00,2026-07-27T11:13:00,1260,SW-TWR-002,SE-TWR-003,VOICE,COMPLETED,N,5G,-120.67,110.55,Southwest
CDR-0000067,SUB-00072,2026-07-24T13:55:00,2026-07-24T14:10:31,931,MW-TWR-002,SE-TWR-002,VIDEO,COMPLETED,N,5G,-70.37,229.14,Midwest
CDR-0000068,SUB-00049,2026-07-16T19:52:00,2026-07-16T20:19:22,1642,SW-TWR-002,NW-TWR-001,VOICE,FAILED,N,5G,-80.77,131.76,Southwest
CDR-0000069,SUB-00053,2026-07-23T04:52:00,2026-07-23T05:08:20,980,SW-TWR-003,MW-TWR-001,VOICE,COMPLETED,Y,5G,-100.0,236.41,Southwest
CDR-0000070,SUB-00032,2026-07-28T14:08:00,2026-07-28T14:09:55,115,NW-TWR-001,MW-TWR-002,VOICE,COMPLETED,Y,5G,-118.6,149.69,Northwest
CDR-0000071,SUB-00007,2026-07-19T18:07:00,2026-07-19T18:09:37,157,NW-TWR-003,SE-TWR-002,VOLTE,COMPLETED,N,4G,-123.45,203.69,Northwest
CDR-0000072,SUB-00005,2026-07-21T09:00:00,2026-07-21T09:09:27,567,NW-TWR-001,SW-TWR-002,VIDEO,COMPLETED,N,5G,-109.97,113.89,Northwest
CDR-0000073,SUB-00042,2026-07-15T20:27:00,2026-07-15T20:42:33,933,NW-TWR-001,MW-TWR-001,VOICE,DROPPED,N,5G,-69.03,178.72,Northwest
CDR-0000074,SUB-00056,2026-07-12T11:59:00,2026-07-12T12:14:21,921,NW-TWR-003,NW-TWR-001,VOLTE,COMPLETED,N,4G,-79.58,15.26,Northwest
CDR-0000075,SUB-00040,2026-07-25T09:49:00,2026-07-25T09:59:03,603,MW-TWR-002,MW-TWR-003,VOLTE,COMPLETED,N,5G,-88.79,98.8,Midwest
CDR-0000076,SUB-00002,2026-07-03T02:37:00,2026-07-03T02:54:00,1020,MW-TWR-002,SE-TWR-002,VOICE,COMPLETED,Y,5G,-122.2,202.63,Midwest
CDR-0000077,SUB-00035,2026-07-21T13:36:00,2026-07-21T13:41:49,349,MW-TWR-002,SW-TWR-003,VOLTE,COMPLETED,N,5G,-74.32,34.16,Midwest
CDR-0000078,SUB-00075,2026-07-21T05:34:00,2026-07-21T05:51:15,1035,SW-TWR-001,SW-TWR-002,VIDEO,COMPLETED,N,5G,-122.06,75.76,Southwest
CDR-0000079,SUB-00033,2026-07-11T10:45:00,2026-07-11T11:04:18,1158,SE-TWR-003,MW-TWR-002,VOLTE,DROPPED,N,5G,-120.74,63.58,Southeast
CDR-0000080,SUB-00031,2026-07-17T01:30:00,2026-07-17T01:49:46,1186,MW-TWR-003,SW-TWR-001,VOLTE,COMPLETED,N,5G,-70.87,158.85,Midwest
CDR-0000081,SUB-00065,2026-07-16T19:40:00,2026-07-16T19:58:21,1101,NW-TWR-001,SE-TWR-001,VIDEO,COMPLETED,N,5G,-90.41,36.61,Northwest
CDR-0000082,SUB-00075,2026-07-09T21:42:00,2026-07-09T21:59:43,1063,SE-TWR-002,SE-TWR-001,VOLTE,COMPLETED,N,5G,-122.76,128.5,Southeast
CDR-0000083,SUB-00015,2026-07-20T23:59:00,2026-07-21T00:10:34,694,MW-TWR-002,SW-TWR-003,VOLTE,DROPPED,N,5G,-92.09,216.28,Midwest
CDR-0000084,SUB-00087,2026-07-01T03:17:00,2026-07-01T03:31:45,885,SW-TWR-003,MW-TWR-002,VIDEO,COMPLETED,N,5G,-109.73,231.59,Southwest
CDR-0000085,SUB-00092,2026-07-17T21:20:00,2026-07-17T21:26:59,419,SE-TWR-002,SW-TWR-001,VIDEO,COMPLETED,N,5G,-101.73,228.18,Southeast
CDR-0000086,SUB-00026,2026-07-23T14:19:00,2026-07-23T14:27:43,523,MW-TWR-001,MW-TWR-001,VIDEO,COMPLETED,N,5G,-103.91,56.65,Midwest
CDR-0000087,SUB-00058,2026-07-09T15:11:00,2026-07-09T15:39:17,1697,NW-TWR-003,MW-TWR-003,VIDEO,COMPLETED,Y,4G,-112.73,39.67,Northwest
CDR-0000088,SUB-00062,2026-07-16T16:03:00,2026-07-16T16:22:35,1175,MW-TWR-002,MW-TWR-002,VOICE,COMPLETED,N,5G,-101.29,45.95,Midwest
CDR-0000089,SUB-00065,2026-07-22T07:39:00,2026-07-22T07:59:22,1222,MW-TWR-003,NW-TWR-003,VIDEO,COMPLETED,N,5G,-92.05,153.56,Midwest
CDR-0000090,SUB-00076,2026-07-09T09:18:00,2026-07-09T09:37:22,1162,SE-TWR-002,NW-TWR-003,VOLTE,COMPLETED,N,5G,-90.39,113.88,Southeast
CDR-0000091,SUB-00061,2026-07-14T09:37:00,2026-07-14T09:44:14,434,SW-TWR-003,SE-TWR-001,VOICE,DROPPED,N,5G,-123.48,166.65,Southwest
CDR-0000092,SUB-00025,2026-07-03T12:00:00,2026-07-03T12:01:48,108,SE-TWR-001,SW-TWR-003,VIDEO,COMPLETED,N,5G,-84.78,73.24,Southeast
CDR-0000093,SUB-00012,2026-07-26T23:15:00,2026-07-26T23:34:29,1169,SE-TWR-002,SW-TWR-002,VOICE,COMPLETED,Y,5G,-87.62,84.05,Southeast
CDR-0000094,SUB-00032,2026-07-16T03:39:00,2026-07-16T04:08:13,1753,SW-TWR-002,SW-TWR-003,VOLTE,COMPLETED,Y,5G,-95.14,21.72,Southwest
CDR-0000095,SUB-00007,2026-07-02T12:49:00,2026-07-02T13:15:13,1573,SW-TWR-003,SE-TWR-001,VOICE,COMPLETED,Y,5G,-101.26,77.4,Southwest
CDR-0000096,SUB-00095,2026-07-08T06:02:00,2026-07-08T06:04:14,134,SE-TWR-001,SE-TWR-001,VOICE,COMPLETED,N,5G,-75.96,266.43,Southeast
CDR-0000097,SUB-00083,2026-07-10T11:49:00,2026-07-10T12:05:39,999,SW-TWR-003,MW-TWR-003,VOLTE,COMPLETED,N,5G,-124.36,256.86,Southwest
CDR-0000098,SUB-00004,2026-07-19T08:38:00,2026-07-19T08:58:03,1203,MW-TWR-001,NW-TWR-001,VOICE,COMPLETED,Y,5G,-65.39,261.94,Midwest
CDR-0000099,SUB-00093,2026-07-23T08:00:00,2026-07-23T08:07:42,462,SE-TWR-002,SW-TWR-002,VIDEO,COMPLETED,N,5G,-91.95,87.07,Southeast
CDR-0000100,SUB-00039,2026-07-20T18:09:00,2026-07-20T18:11:21,141,SE-TWR-002,SW-TWR-002,VIDEO,DROPPED,N,5G,-89.33,175.95,Southeast
CDR-0000101,SUB-00030,2026-07-10T08:20:00,2026-07-10T08:44:27,1467,MW-TWR-003,SW-TWR-001,VIDEO,COMPLETED,N,5G,-87.71,245.45,Midwest
CDR-0000102,SUB-00060,2026-07-14T10:22:00,2026-07-14T10:38:31,991,NW-TWR-003,SE-TWR-003,VOICE,COMPLETED,Y,4G,-78.9,178.56,Northwest
CDR-0000103,SUB-00052,2026-07-14T18:41:00,2026-07-14T19:00:24,1164,SE-TWR-003,MW-TWR-001,VOLTE,COMPLETED,N,5G,-99.49,116.15,Southeast
CDR-0000104,SUB-00022,2026-07-10T09:41:00,2026-07-10T09:46:45,345,MW-TWR-003,SW-TWR-001,VOICE,COMPLETED,N,5G,-101.46,276.81,Midwest
CDR-0000105,SUB-00073,2026-07-21T15:23:00,2026-07-21T15:47:10,1450,NW-TWR-003,MW-TWR-002,VIDEO,COMPLETED,Y,4G,-73.95,66.96,Northwest
CDR-0000106,SUB-00013,2026-07-26T08:44:00,2026-07-26T08:50:39,399,SW-TWR-001,SE-TWR-003,VOICE,COMPLETED,Y,5G,-74.98,133.01,Southwest
CDR-0000107,SUB-00008,2026-07-19T14:43:00,2026-07-19T15:02:12,1152,SW-TWR-003,NW-TWR-003,VIDEO,DROPPED,N,5G,-117.51,183.49,Southwest
CDR-0000108,SUB-00092,2026-07-12T02:33:00,2026-07-12T02:37:46,286,SW-TWR-003,SW-TWR-002,VOICE,COMPLETED,N,5G,-99.37,153.17,Southwest
CDR-0000109,SUB-00021,2026-07-07T09:32:00,2026-07-07T09:56:17,1457,SE-TWR-002,NW-TWR-002,VOLTE,COMPLETED,N,5G,-105.02,36.48,Southeast
CDR-0000110,SUB-00078,2026-07-23T04:46:00,2026-07-23T04:55:11,551,NW-TWR-003,SE-TWR-001,VOLTE,COMPLETED,N,4G,-67.32,78.12,Northwest
CDR-0000111,SUB-00069,2026-07-26T10:18:00,2026-07-26T10:20:13,133,SW-TWR-002,SW-TWR-002,VOLTE,COMPLETED,N,5G,-87.83,72.58,Southwest
CDR-0000112,SUB-00014,2026-07-05T08:10:00,2026-07-05T08:33:36,1416,SW-TWR-001,SE-TWR-001,VIDEO,COMPLETED,N,5G,-115.97,35.79,Southwest
CDR-0000113,SUB-00066,2026-07-17T11:28:00,2026-07-17T11:48:44,1244,SW-TWR-003,NW-TWR-001,VIDEO,COMPLETED,N,5G,-79.5,86.42,Southwest
CDR-0000114,SUB-00046,2026-07-11T08:00:00,2026-07-11T08:22:54,1374,SW-TWR-003,SW-TWR-002,VOLTE,COMPLETED,N,5G,-102.03,153.8,Southwest
CDR-0000115,SUB-00047,2026-07-07T17:52:00,2026-07-07T18:20:23,1703,NW-TWR-003,SE-TWR-002,VOICE,COMPLETED,N,4G,-103.28,123.92,Northwest
CDR-0000116,SUB-00024,2026-07-03T05:04:00,2026-07-03T05:29:27,1527,SE-TWR-002,SW-TWR-003,VOLTE,COMPLETED,N,5G,-102.08,99.5,Southeast
CDR-0000117,SUB-00015,2026-07-28T19:11:00,2026-07-28T19:33:46,1366,SW-TWR-001,MW-TWR-001,VOLTE,COMPLETED,N,5G,-106.02,277.13,Southwest
CDR-0000118,SUB-00004,2026-07-28T22:00:00,2026-07-28T22:26:52,1612,SW-TWR-002,MW-TWR-003,VOICE,COMPLETED,N,5G,-91.07,214.5,Southwest
CDR-0000119,SUB-00087,2026-07-01T11:37:00,2026-07-01T11:46:16,556,SW-TWR-003,SW-TWR-003,VIDEO,COMPLETED,N,5G,-71.91,212.26,Southwest
CDR-0000120,SUB-00041,2026-07-23T09:28:00,2026-07-23T09:39:19,679,MW-TWR-001,NW-TWR-001,VIDEO,DROPPED,N,5G,-107.87,159.45,Midwest
CDR-0000121,SUB-00016,2026-07-21T03:35:00,2026-07-21T03:36:55,115,MW-TWR-001,NW-TWR-003,VOICE,COMPLETED,N,5G,-97.48,247.55,Midwest
CDR-0000122,SUB-00070,2026-07-02T00:45:00,2026-07-02T01:10:38,1538,NW-TWR-001,SE-TWR-002,VIDEO,COMPLETED,N,5G,-110.79,253.12,Northwest
CDR-0000123,SUB-00044,2026-07-02T16:10:00,2026-07-02T16:22:01,721,NW-TWR-002,NW-TWR-003,VOLTE,COMPLETED,N,5G,-104.6,78.13,Northwest
CDR-0000124,SUB-00100,2026-07-18T06:51:00,2026-07-18T07:16:37,1537,SE-TWR-003,MW-TWR-003,VOICE,COMPLETED,N,5G,-78.14,29.6,Southeast
CDR-0000125,SUB-00046,2026-07-04T05:05:00,2026-07-04T05:05:21,21,NW-TWR-002,SE-TWR-001,VOICE,COMPLETED,N,5G,-121.43,226.3,Northwest
CDR-0000126,SUB-00084,2026-07-27T22:13:00,2026-07-27T22:31:36,1116,SW-TWR-002,SE-TWR-003,VOLTE,COMPLETED,Y,5G,-83.55,224.79,Southwest
CDR-0000127,SUB-00085,2026-07-09T18:16:00,2026-07-09T18:23:04,424,SE-TWR-003,NW-TWR-003,VIDEO,COMPLETED,N,5G,-109.77,191.39,Southeast
CDR-0000128,SUB-00011,2026-07-04T09:35:00,2026-07-04T09:38:49,229,MW-TWR-001,SW-TWR-003,VOLTE,COMPLETED,N,5G,-67.65,214.68,Midwest
CDR-0000129,SUB-00058,2026-07-01T12:24:00,2026-07-01T12:46:31,1351,SW-TWR-001,SW-TWR-003,VOLTE,COMPLETED,Y,5G,-67.15,120.15,Southwest
CDR-0000130,SUB-00016,2026-07-17T21:49:00,2026-07-17T21:56:47,467,SW-TWR-003,NW-TWR-002,VOLTE,COMPLETED,N,5G,-97.4,278.59,Southwest
CDR-0000131,SUB-00025,2026-07-13T07:46:00,2026-07-13T08:04:23,1103,NW-TWR-001,SE-TWR-002,VIDEO,COMPLETED,N,5G,-69.6,256.46,Northwest
CDR-0000132,SUB-00100,2026-07-11T17:21:00,2026-07-11T17:44:34,1414,SE-TWR-003,SE-TWR-002,VOLTE,COMPLETED,N,5G,-110.33,243.97,Southeast
CDR-0000133,SUB-00045,2026-07-02T16:57:00,2026-07-02T17:20:01,1381,SE-TWR-002,MW-TWR-001,VIDEO,COMPLETED,Y,5G,-82.19,232.92,Southeast
CDR-0000134,SUB-00035,2026-07-22T08:39:00,2026-07-22T08:39:39,39,SW-TWR-002,SW-TWR-003,VIDEO,COMPLETED,N,5G,-65.81,250.56,Southwest
CDR-0000135,SUB-00043,2026-07-14T12:54:00,2026-07-14T13:10:47,1007,SE-TWR-003,MW-TWR-001,VIDEO,COMPLETED,N,5G,-121.5,141.52,Southeast
CDR-0000136,SUB-00045,2026-07-28T02:08:00,2026-07-28T02:14:41,401,MW-TWR-003,NW-TWR-002,VOLTE,COMPLETED,N,5G,-103.78,213.46,Midwest
CDR-0000137,SUB-00064,2026-07-14T04:53:00,2026-07-14T04:54:50,110,NW-TWR-001,NW-TWR-002,VOLTE,COMPLETED,N,5G,-74.88,82.45,Northwest
CDR-0000138,SUB-00099,2026-07-17T13:39:00,2026-07-17T14:02:43,1423,MW-TWR-003,NW-TWR-001,VIDEO,COMPLETED,N,5G,-123.7,202.21,Midwest
CDR-0000139,SUB-00072,2026-07-21T02:24:00,2026-07-21T02:32:04,484,SW-TWR-002,MW-TWR-001,VIDEO,COMPLETED,Y,5G,-113.08,39.49,Southwest
CDR-0000140,SUB-00086,2026-07-07T09:53:00,2026-07-07T10:12:34,1174,SE-TWR-002,SW-TWR-001,VOLTE,COMPLETED,N,5G,-101.9,246.88,Southeast
CDR-0000141,SUB-00058,2026-07-27T11:35:00,2026-07-27T11:57:57,1377,SW-TWR-002,MW-TWR-002,VOLTE,DROPPED,N,5G,-92.61,31.82,Southwest
CDR-0000142,SUB-00008,2026-07-21T10:38:00,2026-07-21T10:59:04,1264,NW-TWR-003,SE-TWR-003,VOICE,COMPLETED,N,4G,-115.65,227.31,Northwest
CDR-0000143,SUB-00022,2026-07-25T13:40:00,2026-07-25T14:03:48,1428,NW-TWR-003,SW-TWR-003,VIDEO,COMPLETED,N,4G,-113.35,149.55,Northwest
CDR-0000144,SUB-00015,2026-07-23T00:17:00,2026-07-23T00:45:26,1706,SE-TWR-002,NW-TWR-003,VOICE,COMPLETED,N,5G,-115.85,235.79,Southeast
CDR-0000145,SUB-00028,2026-07-06T09:18:00,2026-07-06T09:34:27,987,MW-TWR-002,NW-TWR-001,VOICE,COMPLETED,N,5G,-86.16,125.37,Midwest
CDR-0000146,SUB-00091,2026-07-13T11:35:00,2026-07-13T11:59:33,1473,MW-TWR-003,NW-TWR-001,VOLTE,COMPLETED,N,5G,-71.23,92.66,Midwest
CDR-0000147,SUB-00089,2026-07-09T08:06:00,2026-07-09T08:33:51,1671,NW-TWR-001,SE-TWR-002,VOLTE,COMPLETED,Y,5G,-72.98,234.45,Northwest
CDR-0000148,SUB-00011,2026-07-01T04:46:00,2026-07-01T04:55:50,590,MW-TWR-001,SW-TWR-003,VOLTE,FAILED,Y,5G,-114.39,18.05,Midwest
