event_id,event_time,tower_id,event_type,severity,latency_ms,packet_loss_pct,signal_strength_dbm,utilization_pct,availability_pct,region
NET-0000025,2026-07-09T22:02:00,SW-TWR-002,PACKET_LOSS,HIGH,116.0,12.86,-79.05,58.5,94.8583,Southwest
NET-0000026,2026-07-26T23:37:00,MW-TWR-003,TOWER_RESTART,MEDIUM,292.42,7.8,-87.26,20.63,99.7225,Midwest
NET-0000027,2026-07-14T13:36:00,SW-TWR-001,NORMAL_HEARTBEAT,INFO,11.78,10.61,-96.67,61.75,96.7761,Southwest
NET-0000028,2026-07-02T12:14:00,SE-TWR-002,NORMAL_HEARTBEAT,INFO,329.81,6.54,-100.58,60.62,97.517,Southeast
NET-0000029,2026-07-28T20:19:00,MW-TWR-002,NORMAL_HEARTBEAT,INFO,186.45,4.31,-65.09,74.69,98.1083,Midwest
NET-0000030,2026-07-06T23:31:00,MW-TWR-003,NORMAL_HEARTBEAT,INFO,179.6,1.48,-118.32,86.84,99.938,Midwest
NET-0000031,2026-07-14T17:48:00,MW-TWR-001,CONGESTION,HIGH,202.49,9.66,-83.72,33.39,96.1415,Midwest
NET-0000032,2026-07-10T15:43:00,MW-TWR-001,NORMAL_HEARTBEAT,INFO,62.36,11.67,-85.34,96.17,98.9746,Midwest
NET-0000033,2026-07-23T01:20:00,SW-TWR-002,PACKET_LOSS,MEDIUM,308.11,3.02,-120.62,51.47,96.4359,Southwest
NET-0000034,2026-07-11T13:23:00,SE-TWR-003,CONGESTION,LOW,266.07,12.79,-115.95,35.95,97.1068,Southeast
NET-0000035,2026-07-25T14:26:00,SE-TWR-002,NORMAL_HEARTBEAT,INFO,95.03,10.36,-86.07,80.38,96.2183,Southeast
NET-0000036,2026-07-06T23:46:00,SW-TWR-003,SIGNAL_DEGRADATION,HIGH,329.22,11.06,-101.29,36.99,97.6044,Southwest
NET-0000037,2026-07-23T06:10:00,SW-TWR-001,NORMAL_HEARTBEAT,INFO,28.6,0.26,-102.55,24.94,96.6861,Southwest
NET-0000038,2026-07-10T04:44:00,SE-TWR-002,PACKET_LOSS,HIGH,24.31,7.12,-99.04,100.12,97.6345,Southeast
NET-0000039,2026-07-02T18:42:00,MW-TWR-003,HIGH_LATENCY,MEDIUM,246.31,1.89,-97.77,68.21,96.8209,Midwest
NET-0000040,2026-07-16T02:43:00,NW-TWR-003,PACKET_LOSS,HIGH,258.94,13.7,-71.42,43.44,99.9542,Northwest
NET-0000041,2026-07-27T00:02:00,NW-TWR-001,SIGNAL_DEGRADATION,LOW,258.6,3.04,-127.07,30.15,98.529,Northwest
NET-0000042,2026-07-23T04:10:00,SW-TWR-002,NORMAL_HEARTBEAT,INFO,143.78,7.25,-95.18,45.67,94.2691,Southwest
NET-0000043,2026-07-16T23:53:00,SE-TWR-002,SIGNAL_DEGRADATION,LOW,187.23,14.37,-118.99,60.72,96.4503,Southeast
NET-0000044,2026-07-12T10:34:00,NW-TWR-003,NORMAL_HEARTBEAT,INFO,118.01,6.3,-94.59,39.27,94.1784,Northwest
NET-0000045,2026-07-07T15:44:00,SE-TWR-001,PACKET_LOSS,LOW,164.24,2.96,-96.55,106.0,94.3121,Southeast
NET-0000046,2026-07-14T22:22:00,SW-TWR-001,NORMAL_HEARTBEAT,INFO,20.36,13.32,-74.07,56.29,99.3169,Southwest
NET-0000047,2026-07-10T04:45:00,SE-TWR-003,TOWER_RESTART,MEDIUM,189.4,8.23,-91.05,59.8,97.4823,Southeast
NET-0000048,2026-07-11T11:24:00,SW-TWR-002,NORMAL_HEARTBEAT,INFO,121.69,5.5,-81.56,26.76,98.8534,Southwest
NET-0000049,2026-07-26T11:49:00,SE-TWR-002,NORMAL_HEARTBEAT,INFO,226.69,2.25,-111.04,29.94,98.9971,Southeast
NET-0000050,2026-07-07T05:23:00,MW-TWR-002,TOWER_RESTART,HIGH,240.29,1.71,-66.58,25.55,98.448,Midwest
NET-0000051,2026-07-22T04:21:00,SW-TWR-003,NORMAL_HEARTBEAT,INFO,274.51,6.28,-63.77,49.39,94.9459,Southwest
NET-0000052,2026-07-12T14:13:00,MW-TWR-001,HIGH_LATENCY,MEDIUM,280.39,7.88,-117.65,36.71,95.9169,Midwest
NET-0000053,2026-07-12T16:13:00,SE-TWR-001,NORMAL_HEARTBEAT,INFO,82.56,8.92,-90.44,85.01,99.8052,Southeast
NET-0000054,2026-07-24T04:32:00,MW-TWR-001,PACKET_LOSS,LOW,22.94,13.58,-90.56,98.06,97.4429,Midwest
NET-0000055,2026-07-04T07:40:00,NW-TWR-003,NORMAL_HEARTBEAT,INFO,217.46,8.12,-119.7,83.23,99.1749,Northwest
NET-0000056,2026-07-26T07:32:00,MW-TWR-001,CONGESTION,LOW,320.26,7.54,-127.97,42.27,99.0536,Midwest
NET-0000057,2026-07-20T18:44:00,MW-TWR-003,SIGNAL_DEGRADATION,HIGH,69.96,1.74,-63.22,88.07,97.5187,Midwest
NET-0000058,2026-07-21T20:50:00,SE-TWR-002,TOWER_RESTART,LOW,321.06,9.1,-66.11,57.73,94.7856,Southeast
NET-0000059,2026-07-07T05:49:00,NW-TWR-002,HIGH_LATENCY,MEDIUM,301.26,11.01,-65.33,102.49,97.8273,Northwest
NET-0000060,2026-07-08T22:14:00,NW-TWR-001,NORMAL_HEARTBEAT,INFO,69.82,4.47,-96.15,46.46,96.75,Northwest
NET-0000061,2026-07-03T01:59:00,SE-TWR-002,NORMAL_HEARTBEAT,INFO,285.85,2.91,-118.84,100.28,97.8835,Southeast
NET-0000062,2026-07-04T01:56:00,NW-TWR-001,PACKET_LOSS,HIGH,198.61,0.72,-73.09,68.21,98.7833,Northwest
NET-0000063,2026-07-09T03:50:00,NW-TWR-002,NORMAL_HEARTBEAT,INFO,244.01,7.14,-73.91,89.58,99.0966,Northwest
NET-0000064,2026-07-24T07:09:00,NW-TWR-001,TOWER_RESTART,MEDIUM,287.92,12.87,-128.35,51.43,94.8967,Northwest
NET-0000065,2026-07-02T11:27:00,NW-TWR-002,NORMAL_HEARTBEAT,INFO,86.8,2.27,-96.83,66.86,97.1506,Northwest
NET-0000066,2026-07-21T07:04:00,MW-TWR-002,SIGNAL_DEGRADATION,HIGH,298.12,8.37,-113.29,97.77,99.4881,Midwest
NET-0000067,2026-07-22T08:41:00,NW-TWR-003,PACKET_LOSS,MEDIUM,15.42,11.61,-93.67,72.44,94.5689,Northwest
NET-0000068,2026-07-15T06:44:00,NW-TWR-003,NORMAL_HEARTBEAT,INFO,200.95,7.15,-120.33,104.66,95.6658,Northwest
NET-0000069,2026-07-06T19:34:00,SW-TWR-001,PACKET_LOSS,HIGH,96.62,8.14,-93.64,99.37,97.0502,Southwest
NET-0000070,2026-07-12T04:28:00,MW-TWR-002,NORMAL_HEARTBEAT,INFO,89.63,9.89,-102.08,79.44,94.2559,Midwest
NET-0000071,2026-07-12T04:45:00,MW-TWR-001,NORMAL_HEARTBEAT,INFO,301.76,13.59,-106.86,71.09,96.7878,Midwest
NET-0000072,2026-07-14T12:28:00,SE-TWR-003,TOWER_RESTART,MEDIUM,179.35,14.49,-125.34,102.83,95.1824,Southeast
NET-0000073,2026-07-21T23:03:00,SW-TWR-002,PACKET_LOSS,LOW,320.28,8.58,-110.58,15.07,98.2936,Southwest
NET-0000074,2026-07-01T22:49:00,MW-TWR-002,SIGNAL_DEGRADATION,LOW,201.72,5.13,-71.15,98.75,94.6781,Midwest
NET-0000075,2026-07-26T04:46:00,NW-TWR-002,HIGH_LATENCY,HIGH,194.46,4.93,-90.24,65.03,96.9752,Northwest
NET-0000076,2026-07-23T09:21:00,NW-TWR-003,PACKET_LOSS,HIGH,247.11,14.32,-104.5,80.2,98.4185,Northwest
NET-0000077,2026-07-09T04:27:00,NW-TWR-002,PACKET_LOSS,HIGH,42.36,5.28,-82.48,74.32,98.8886,Northwest
NET-0000078,2026-07-18T10:04:00,SW-TWR-002,NORMAL_HEARTBEAT,INFO,51.07,2.97,-79.14,36.93,99.8241,Southwest
NET-0000079,2026-07-05T15:25:00,SE-TWR-003,CONGESTION,HIGH,304.83,9.92,-65.89,98.86,96.7941,Southeast
NET-0000080,2026-07-02T07:40:00,MW-TWR-001,SIGNAL_DEGRADATION,MEDIUM,173.22,1.54,-99.76,77.76,98.2598,Midwest
NET-0000081,2026-07-26T14:03:00,NW-TWR-003,NORMAL_HEARTBEAT,INFO,290.44,0.9,-98.13,73.56,99.9417,Northwest
NET-0000082,2026-07-08T15:50:00,NW-TWR-003,SIGNAL_DEGRADATION,LOW,164.63,12.1,-100.79,90.85,95.2783,Northwest
NET-0000083,2026-07-09T13:28:00,SW-TWR-002,CONGESTION,MEDIUM,11.59,7.78,-67.51,77.96,98.4657,Southwest
NET-0000084,2026-07-19T20:47:00,MW-TWR-003,HIGH_LATENCY,HIGH,201.44,12.65,-95.11,27.7,99.0069,Midwest
NET-0000085,2026-07-13T00:26:00,SW-TWR-003,SIGNAL_DEGRADATION,HIGH,68.14,8.0,-94.57,106.75,97.8438,Southwest
NET-0000086,2026-07-24T01:28:00,SW-TWR-002,SIGNAL_DEGRADATION,LOW,217.99,13.05,-125.97,31.19,97.4735,Southwest
NET-0000087,2026-07-28T21:54:00,SW-TWR-003,NORMAL_HEARTBEAT,INFO,304.16,0.07,-90.85,38.73,98.3946,Southwest
NET-0000088,2026-07-18T18:59:00,SW-TWR-001,PACKET_LOSS,HIGH,277.08,8.28,-90.49,19.68,97.3136,Southwest
NET-0000089,2026-07-22T05:49:00,SW-TWR-003,NORMAL_HEARTBEAT,INFO,88.32,4.57,-117.18,87.96,98.1329,Southwest
NET-0000090,2026-07-08T07:49:00,SW-TWR-002,CONGESTION,MEDIUM,231.45,8.86,-62.32,102.32,96.9597,Southwest
NET-0000091,2026-07-14T13:13:00,SE-TWR-003,NORMAL_HEARTBEAT,INFO,290.77,6.86,-111.57,67.11,96.4099,Southeast
NET-0000092,2026-07-18T02:38:00,SE-TWR-003,CONGESTION,MEDIUM,230.8,14.74,-118.08,23.19,98.5061,Southeast
NET-0000093,2026-07-22T08:15:00,SE-TWR-001,NORMAL_HEARTBEAT,INFO,250.35,5.0,-60.89,30.2,94.4152,Southeast
NET-0000094,2026-07-27T13:04:00,NW-TWR-001,SIGNAL_DEGRADATION,HIGH,86.75,4.62,-79.37,40.05,94.8565,Northwest
NET-0000095,2026-07-25T14:35:00,MW-TWR-003,PACKET_LOSS,MEDIUM,75.58,4.74,-117.74,83.74,98.9634,Midwest
NET-0000096,2026-07-01T21:47:00,SW-TWR-002,SIGNAL_DEGRADATION,HIGH,232.48,12.04,-79.83,88.49,96.1819,Southwest
NET-0000097,2026-07-28T08:10:00,MW-TWR-002,SIGNAL_DEGRADATION,LOW,336.51,2.69,-126.29,35.61,95.8953,Midwest
NET-0000098,2026-07-27T01:40:00,SE-TWR-002,HIGH_LATENCY,HIGH,127.33,12.95,-127.17,62.85,94.7903,Southeast
NET-0000099,2026-07-02T09:23:00,NW-TWR-001,NORMAL_HEARTBEAT,INFO,159.07,14.24,-81.74,44.03,99.4008,Northwest
NET-0000100,2026-07-05T18:00:00,SE-TWR-002,NORMAL_HEARTBEAT,INFO,299.03,1.0,-67.77,16.86,97.2582,Southeast
NET-0000101,2026-07-28T13:13:00,NW-TWR-002,HIGH_LATENCY,MEDIUM,211.06,9.62,-90.62,51.34,94.8875,Northwest
NET-0000102,2026-07-16T04:40:00,SE-TWR-002,TOWER_RESTART,HIGH,110.06,10.58,-82.25,86.94,96.1568,Southeast
NET-0000103,2026-07-28T20:33:00,SW-TWR-003,CONGESTION,HIGH,204.93,6.17,-121.3,21.36,99.9488,Southwest
NET-0000104,2026-07-05T04:10:00,SW-TWR-002,NORMAL_HEARTBEAT,INFO,103.77,10.4,-95.41,66.59,98.631,Southwest
NET-0000105,2026-07-26T12:27:00,SE-TWR-003,HIGH_LATENCY,LOW,302.13,7.83,-116.05,16.88,96.151,Southeast
NET-0000106,2026-07-03T13:26:00,SW-TWR-003,TOWER_RESTART,MEDIUM,155.7,10.61,-78.94,53.16,94.0195,Southwest
NET-0000107,2026-07-02T22:11:00,MW-TWR-003,NORMAL_HEARTBEAT,INFO,161.35,6.22,-85.34,38.96,94.4579,Midwest
NET-0000108,2026-07-22T17:44:00,NW-TWR-003,HIGH_LATENCY,HIGH,172.66,0.16,-79.67,54.51,97.7329,Northwest
NET-0000109,2026-07-19T00:51:00,MW-TWR-001,CONGESTION,MEDIUM,340.27,14.46,-68.42,41.61,95.0967,Midwest
NET-0000110,2026-07-16T02:25:00,SW-TWR-003,TOWER_RESTART,LOW,241.08,13.48,-70.25,44.96,99.1175,Southwest
NET-0000111,2026-07-06T17:10:00,SE-TWR-003,NORMAL_HEARTBEAT,INFO,165.21,9.89,-104.14,78.98,97.563,Southeast
NET-0000112,2026-07-10T13:37:00,SE-TWR-001,CONGESTION,MEDIUM,98.77,0.31,-110.33,103.01,99.0686,Southeast
NET-0000113,2026-07-26T11:49:00,SE-TWR-003,CONGESTION,MEDIUM,220.55,5.35,-78.19,28.21,95.3025,Southeast
NET-0000114,2026-07-15T05:07:00,SW-TWR-003,SIGNAL_DEGRADATION,HIGH,66.21,6.29,-109.29,24.66,97.6787,Southwest
NET-0000115,2026-07-25T19:00:00,NW-TWR-001,CONGESTION,HIGH,187.54,4.24,-122.8,58.1,99.3395,Northwest
NET-0000116,2026-07-13T07:47:00,SW-TWR-002,HIGH_LATENCY,MEDIUM,114.81,9.79,-68.29,48.06,97.5843,Southwest
NET-0000117,2026-07-09T09:44:00,SW-TWR-001,PACKET_LOSS,MEDIUM,73.45,9.71,-77.66,17.09,99.3743,Southwest
NET-0000118,2026-07-17T06:20:00,SW-TWR-003,HIGH_LATENCY,LOW,232.23,1.79,-79.41,97.56,99.8147,Southwest
NET-0000119,2026-07-11T18:01:00,SE-TWR-001,CONGESTION,LOW,241.94,14.2,-121.84,92.27,97.8273,Southeast
NET-0000120,2026-07-25T04:45:00,NW-TWR-003,CONGESTION,MEDIUM,231.13,2.96,-90.8,43.13,95.9818,Northwest
NET-0000121,2026-07-06T07:05:00,SW-TWR-001,NORMAL_HEARTBEAT,INFO,180.39,5.51,-117.12,104.72,98.1784,Southwest
NET-0000122,2026-07-05T05:00:00,SE-TWR-002,SIGNAL_DEGRADATION,HIGH,61.8,11.03,-76.94,41.68,97.5222,Southeast
NET-0000123,2026-07-22T02:40:00,NW-TWR-003,CONGESTION,LOW,195.42,14.1,-65.28,26.21,97.2149,Northwest
NET-0000124,2026-07-18T00:05:00,SE-TWR-001,HIGH_LATENCY,LOW,247.28,13.72,-124.46,62.9,99.1931,Southeast
NET-0000125,2026-07-13T04:10:00,NW-TWR-001,HIGH_LATENCY,LOW,137.43,14.97,-129.92,61.32,95.5365,Northwest
NET-0000126,2026-07-10T03:42:00,SE-TWR-002,NORMAL_HEARTBEAT,INFO,77.24,12.48,-105.6,45.87,94.9899,Southeast
NET-0000127,2026-07-07T20:22:00,SW-TWR-003,TOWER_RESTART,MEDIUM,31.81,4.29,-100.35,70.55,98.1252,Southwest
NET-0000128,2026-07-23T04:02:00,NW-TWR-003,SIGNAL_DEGRADATION,MEDIUM,283.07,11.16,-105.12,24.56,96.5891,Northwest
NET-0000129,2026-07-25T23:52:00,SE-TWR-002,NORMAL_HEARTBEAT,INFO,271.05,5.15,-104.69,87.11,95.4393,Southeast
NET-0000130,2026-07-15T12:01:00,MW-TWR-001,NORMAL_HEARTBEAT,INFO,159.26,13.37,-69.68,76.96,94.8704,Midwest
NET-0000131,2026-07-10T02:25:00,MW-TWR-002,NORMAL_HEARTBEAT,INFO,19.86,3.66,-101.56,78.52,98.0217,Midwest
NET-0000132,2026-07-08T15:03:00,MW-TWR-003,NORMAL_HEARTBEAT,INFO,180.82,6.56,-100.51,83.58,96.1972,Midwest
NET-0000133,2026-07-05T22:11:00,SW-TWR-002,SIGNAL_DEGRADATION,MEDIUM,289.16,7.38,-92.06,50.18,99.1573,Southwest
NET-0000134,2026-07-20T04:21:00,SE-TWR-003,CONGESTION,LOW,10.75,9.85,-106.4,26.04,99.6346,Southeast
NET-0000135,2026-07-18T03:55:00,NW-TWR-002,NORMAL_HEARTBEAT,INFO,200.84,14.37,-84.91,21.18,94.2371,Northwest
NET-0000136,2026-07-20T13:21:00,SE-TWR-002,NORMAL_HEARTBEAT,INFO,40.33,9.43,-122.08,100.26,99.211,Southeast
NET-0000137,2026-07-24T07:04:00,NW-TWR-003,SIGNAL_DEGRADATION,LOW,214.61,4.83,-116.38,32.77,94.4663,Northwest
NET-0000138,2026-07-10T08:48:00,SW-TWR-002,TOWER_RESTART,LOW,18.38,2.89,-65.31,24.79,97.4383,Southwest
NET-0000139,2026-07-05T00:28:00,MW-TWR-002,TOWER_RESTART,HIGH,161.86,8.88,-102.82,70.24,99.1944,Midwest
NET-0000140,2026-07-23T17:04:00,MW-TWR-002,CONGESTION,MEDIUM,119.21,13.95,-120.54,29.94,95.5627,Midwest
NET-0000141,2026-07-24T22:05:00,NW-TWR-002,NORMAL_HEARTBEAT,INFO,282.87,13.6,-120.04,15.14,94.4572,Northwest
NET-0000142,2026-07-24T16:28:00,MW-TWR-002,NORMAL_HEARTBEAT,INFO,157.94,3.04,-74.0,30.41,94.8508,Midwest
NET-0000143,2026-07-27T07:34:00,SE-TWR-002,NORMAL_HEARTBEAT,INFO,163.16,13.36,-63.33,59.99,99.9433,Southeast
NET-0000144,2026-07-08T06:37:00,SW-TWR-001,NORMAL_HEARTBEAT,INFO,12.14,6.46,-65.61,98.71,94.3441,Southwest
NET-0000145,2026-07-15T12:37:00,MW-TWR-003,NORMAL_HEARTBEAT,INFO,195.3,8.15,-105.93,96.49,95.8518,Midwest
NET-0000146,2026-07-19T14:33:00,NW-TWR-003,NORMAL_HEARTBEAT,INFO,342.26,2.81,-108.67,99.6,98.0413,Northwest
NET-0000147,2026-07-20T20:07:00,NW-TWR-001,TOWER_RESTART,HIGH,215.74,9.4,-122.7,107.5,99.397,Northwest
NET-0000148,2026-07-25T10:48:00,MW-TWR-003,NORMAL_HEARTBEAT,INFO,71.27,4.23,-64.96,105.87,98.1807,Midwest
NET-0000149,2026-07-24T17:19:00,SW-TWR-001,SIGNAL_DEGRADATION,HIGH,296.0,14.35,-112.32,72.9,96.6449,Southwest
NET-0000150,2026-07-21T12:21:00,MW-TWR-002,NORMAL_HEARTBEAT,INFO,325.97,1.85,-127.15,109.73,99.0796,Midwest
NET-0000151,2026-07-26T21:40:00,SE-TWR-003,HIGH_LATENCY,LOW,102.99,2.99,-126.95,71.42,94.7648,Southeast
NET-0000152,2026-07-24T02:58:00,NW-TWR-001,NORMAL_HEARTBEAT,INFO,126.6,14.62,-90.49,37.64,99.7078,Northwest
NET-0000153,2026-07-07T05:34:00,MW-TWR-001,NORMAL_HEARTBEAT,INFO,32.65,6.46,-71.79,15.05,99.1396,Midwest
NET-0000154,2026-07-20T21:05:00,MW-TWR-001,NORMAL_HEARTBEAT,INFO,29.13,14.13,-100.23,66.64,95.697,Midwest
NET-0000155,2026-07-28T13:46:00,MW-TWR-003,PACKET_LOSS,HIGH,117.79,5.33,-129.6,78.06,96.9502,Midwest
NET-0000156,2026-07-25T11:04:00,NW-TWR-003,NORMAL_HEARTBEAT,INFO,153.9,11.6,-68.23,104.48,98.8785,Northwest
NET-0000157,2026-07-26T08:20:00,NW-TWR-001,CONGESTION,LOW,122.88,11.17,-112.81,63.52,96.9219,Northwest
NET-0000158,2026-07-03T16:07:00,MW-TWR-003,NORMAL_HEARTBEAT,INFO,210.5,2.04,-76.45,95.28,94.7273,Midwest
NET-0000159,2026-07-05T03:47:00,SW-TWR-002,HIGH_LATENCY,LOW,129.86,5.49,-123.55,21.95,99.2625,Southwest
NET-0000160,2026-07-07T23:19:00,MW-TWR-001,NORMAL_HEARTBEAT,INFO,165.68,9.38,-121.0,50.28,99.7826,Midwest
NET-0000161,2026-07-12T09:53:00,SW-TWR-001,NORMAL_HEARTBEAT,INFO,26.16,6.09,-94.78,47.47,96.8321,Southwest
NET-0000162,2026-07-21T05:47:00,NW-TWR-003,NORMAL_HEARTBEAT,INFO,271.0,1.12,-116.51,84.95,96.2767,Northwest
NET-0000163,2026-07-12T08:49:00,SW-TWR-003,PACKET_LOSS,MEDIUM,69.34,5.12,-109.09,51.56,98.1621,Southwest
NET-0000164,2026-07-23T11:55:00,SW-TWR-003,CONGESTION,MEDIUM,157.55,2.96,-123.95,94.84,96.2653,Southwest
NET-0000165,2026-07-27T22:55:00,SW-TWR-002,HIGH_LATENCY,HIGH,86.52,6.06,-103.25,94.66,94.5235,Southwest
NET-0000166,2026-07-16T08:58:00,MW-TWR-001,SIGNAL_DEGRADATION,LOW,188.11,6.69,-105.68,25.03,99.0192,Midwest
NET-0000167,2026-07-04T19:16:00,NW-TWR-002,NORMAL_HEARTBEAT,INFO,18.42,14.18,-73.95,32.12,99.8878,Northwest
NET-0000168,2026-07-10T21:36:00,NW-TWR-001,TOWER_RESTART,MEDIUM,90.99,3.16,-86.96,92.22,99.5922,Northwest
NET-0000169,2026-07-10T09:24:00,SE-TWR-001,HIGH_LATENCY,LOW,119.32,5.83,-85.31,21.89,95.3957,Southeast
NET-0000170,2026-07-27T05:13:00,NW-TWR-003,NORMAL_HEARTBEAT,INFO,281.64,7.27,-70.47,77.95,98.2243,Northwest
NET-0000171,2026-07-21T15:38:00,SE-TWR-003,CONGESTION,LOW,124.04,4.14,-65.81,30.12,99.5078,Southeast
NET-0000172,2026-07-01T14:25:00,NW-TWR-001,NORMAL_HEARTBEAT,INFO,245.65,3.14,-125.39,69.78,94.2909,Northwest
NET-0000173,2026-07-28T14:01:00,NW-TWR-001,TOWER_RESTART,HIGH,269.03,3.35,-67.18,47.17,97.5258,Northwest
NET-0000174,2026-07-03T09:58:00,NW-TWR-002,NORMAL_HEARTBEAT,INFO,141.25,9.14,-68.56,59.88,98.0852,Northwest
NET-0000175,2026-07-27T11:34:00,NW-TWR-003,NORMAL_HEARTBEAT,INFO,12.9,9.29,-113.05,64.41,98.8276,Northwest
NET-0000176,2026-07-11T20:57:00,MW-TWR-001,PACKET_LOSS,LOW,170.9,6.85,-119.3,70.44,95.5635,Midwest
NET-0000177,2026-07-27T00:18:00,MW-TWR-002,CONGESTION,LOW,303.55,0.25,-95.54,72.28,97.0453,Midwest
NET-0000178,2026-07-18T16:34:00,SE-TWR-002,NORMAL_HEARTBEAT,INFO,188.47,0.08,-63.28,54.15,94.7048,Southeast
NET-0000179,2026-07-19T06:59:00,SW-TWR-001,TOWER_RESTART,HIGH,35.92,13.43,-80.71,62.39,96.7083,Southwest
NET-0000180,2026-07-17T23:09:00,SE-TWR-003,NORMAL_HEARTBEAT,INFO,152.62,14.26,-69.97,47.58,95.2333,Southeast
NET-0000181,2026-07-10T20:40:00,SW-TWR-001,NORMAL_HEARTBEAT,INFO,158.28,0.78,-121.11,89.66,98.3198,Southwest
NET-0000182,2026-07-18T15:55:00,NW-TWR-002,PACKET_LOSS,LOW,11.42,0.33,-128.77,38.52,95.0671,Northwest
NET-0000183,2026-07-15T17:27:00,SW-TWR-003,NORMAL_HEARTBEAT,INFO,289.94,5.87,-129.71,80.0,96.7173,Southwest
NET-0000184,2026-07-26T07:07:00,MW-TWR-002,CONGESTION,HIGH,184.18,5.37,-72.68,89.04,96.3094,Midwest
NET-0000185,2026-07-09T02:46:00,MW-TWR-001,SIGNAL_DEGRADATION,LOW,240.94,6.38,-123.43,44.94,97.4528,Midwest
NET-0000186,2026-07-17T09:03:00,SE-TWR-002,NORMAL_HEARTBEAT,INFO,41.87,12.56,-64.64,65.62,94.7079,Southeast
NET-0000187,2026-07-20T12:28:00,NW-TWR-003,HIGH_LATENCY,LOW,22.75,13.54,-76.94,61.32,97.4549,Northwest
NET-0000188,2026-07-07T20:43:00,SE-TWR-003,PACKET_LOSS,HIGH,90.67,6.67,-82.58,36.17,96.5518,Southeast
NET-0000189,2026-07-04T03:46:00,SW-TWR-002,NORMAL_HEARTBEAT,INFO,226.95,11.34,-114.93,30.04,94.3382,Southwest
